filial,centro_sap,sap_numero,descricao,regional,gerente_regional,segmento_base_id
602,LJ084,084,IPLACE - IGUATEMI CAXIAS - RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107559
603,LJ085,085,IPLACE - IGUATEMI POA - RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107566
605,LJ090,090,IPLACE- VILLA ROMANA - SC,R1,DANIEL ALBACH FILIPAK JUNIOR,107591
608,LJ093,093,IPLACE- PARK SHOPP BRASILIA-DF,R6,ANDREA VALE PACHECO MARTINS,107594
609,LJ096,096,IPLACE - BH SHOPPING - MG,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107595
610,LJ094,094,IPLACE - BARRA SUL POA - RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107597
615,LJ102,102,IPLACE - BOURBON - SP,R5,CATIA APARECIDA VILELA DE ABREU,107608
617,LJ106,106,IPLACE - SAO CAETANO - SP,R4,JESSICA DA SILVA DE FARIAS,107613
618,LJ107,107,IPLACE - CAMPO GRANDE - MS,R6,ANDREA VALE PACHECO MARTINS,107628
620,LJ109,109,IPLACE - SP MOOCA - SP,R5,CATIA APARECIDA VILELA DE ABREU,107632
622,LJ158,158,IPLACE - SP VILLA LOBOS - SP,R5,CATIA APARECIDA VILELA DE ABREU,107637
623,LJ157,157,IPLACE - SP IBIRAPUERA - SP,R5,CATIA APARECIDA VILELA DE ABREU,
624,LJ155,155,IPLACE - IGUATEMI CAMPINAS- SP,R2,JULIANA ANDRADA PINHEIRO PEDROSA,296463
625,LJ156,156,IPLACE - SP ELDORADO - SP,R5,CATIA APARECIDA VILELA DE ABREU,107684
627,LJ163,163,IPLACE - SP ANALIA FRANCO - SP,R5,CATIA APARECIDA VILELA DE ABREU,107685
629,LJ161,161,IPLACE-IGUATEMI ALPHAVILLE- SP,R4,JESSICA DA SILVA DE FARIAS,107687
630,LJ110,110,IPLACE - SP IGUATEMI JK - SP,R5,CATIA APARECIDA VILELA DE ABREU,106304
631,LJ111,111,IPLACE - BRASILIA SHOPPING- DF,R6,ANDREA VALE PACHECO MARTINS,107690
633,LJ117,117,IPLACE - BELEM - PA,R6,ANDREA VALE PACHECO MARTINS,107691
634,LJ119,119,IPLACE - JOAO PESSOA - PB,R3,JERRISON DA CONCEICAO FARIAS,107692
635,LJ118,118,IPLACE - SP CENTER NORTE - SP,R5,CATIA APARECIDA VILELA DE ABREU,107693
636,LJ120,120,IPLACE - MANAUS - AM - Manauara Shopping,R6,ANDREA VALE PACHECO MARTINS,107696
637,LJ124,124,IPLACE - NATAL - RN,R3,JERRISON DA CONCEICAO FARIAS,107699
638,LJ121,121,IPLACE - FORTALEZA - CE,R3,JERRISON DA CONCEICAO FARIAS,107701
639,LJ126,126,IPLACE - NITEROI - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107706
646,LJ165,165,IPLACE - R JANEIRO BOTAFOGO-RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107710
647,LJ198,198,IPLACE - BH PATIO SAVASSI - MG,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107723
648,LJ185,185,IPLACE - RJ SHOPP TIJUCA - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107725
649,LJ209,209,IPLACE - CURITIBA - PR,R1,DANIEL ALBACH FILIPAK JUNIOR,107726
650,LJ219,219,IPLACE - FORTALEZA - CE,R3,JERRISON DA CONCEICAO FARIAS,107727
651,LJ231,231,IPLACE  - SANTOS - SP,R4,JESSICA DA SILVA DE FARIAS,107729
653,LJ233,233,IPLACE - RIO DE JANEIRO - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107733
654,LJ234,234,IPLACE- SHOPP CIDADE SÃO PAULO,R5,CATIA APARECIDA VILELA DE ABREU,107735
656,LJ235,235,IPLACE - SHOPP BARRA SALVADOR,R3,JERRISON DA CONCEICAO FARIAS,107734
659,LJ245,245,IPLACE - BELEM - PA,R6,ANDREA VALE PACHECO MARTINS,107736
661,LJ242,242,IPLACE - MANAUS - AM,R6,ANDREA VALE PACHECO MARTINS,107739
662,LJ244,244,IPLACE - CUIABA - MT,R6,ANDREA VALE PACHECO MARTINS,107741
665,LJ248,248,IPLACE - RIO DE JANEIRO - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107745
666,LJ249,249,IPLACE - FLORIANÓPOLIS - SC,R1,DANIEL ALBACH FILIPAK JUNIOR,107749
667,LJ254,254,IPLACE - JOINVILLE - SC,R1,DANIEL ALBACH FILIPAK JUNIOR,107753
671,LJ262,262,IPLACE - ARACAJU - SE,R3,JERRISON DA CONCEICAO FARIAS,107754
672,LJ239,239,IPLACE - PARK SHOPPING CANOAS,R1,DANIEL ALBACH FILIPAK JUNIOR,107756
676,LJ258,258,IPLACE - OSASCO - SP,R4,JESSICA DA SILVA DE FARIAS,107759
678,LJ266,266,IPLACE - ANANINDEUA - PA,R6,ANDREA VALE PACHECO MARTINS,107761
679,LJ285,285,IPLACE - SHOPPING DA BAHIA - B,R3,JERRISON DA CONCEICAO FARIAS,107766
680,LJ284,284,IPLACE - FLAMBOYANT - GO,R6,ANDREA VALE PACHECO MARTINS,107769
681,LJ291,291,IPLACE - SALVADOR SHOPPING - BA,R3,JERRISON DA CONCEICAO FARIAS,107817
682,LJ288,288,IPLACE - SHOPPING RECIFE - PE,R3,JERRISON DA CONCEICAO FARIAS,107818
683,LJ286,286,IPLACE - SHOPPING VITORIA - ES,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107819
684,LJ283,283,IPLACE - RIOMAR - PE,R3,JERRISON DA CONCEICAO FARIAS,107820
685,LJ287,287,IPLACE - BARRA SHOPPING - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107822
686,LJ293,293,IPLACE - PONTA NEGRA - AM,R6,ANDREA VALE PACHECO MARTINS,107823
803,LJ127,127,MYSTORE- S.J. DO RIO PRETO -SP,R4,JESSICA DA SILVA DE FARIAS,107824
804,LJ141,141,MYSTORE - S.J. DOS CAMPOS - SP,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107825
805,LJ146,146,MYSTORE - RIBEIRAO SHOPPING-SP,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107826
806,LJ143,143,MYSTORE -  VOTORANTIM - SP,R4,JESSICA DA SILVA DE FARIAS,107829
810,LJ145,145,MYSTORE - SAO PAULO TIETE - SP,R5,CATIA APARECIDA VILELA DE ABREU,107832
811,LJ151,151,MYSTORE - SP PLAZA SUL - SP,R5,CATIA APARECIDA VILELA DE ABREU,107834
813,LJ153,153,MYSTORE - SHOPPING ABC - SP,R4,JESSICA DA SILVA DE FARIAS,107836
815,LJ152,152,MYSTORE- PRAIA DE BELAS POA-RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107839
816,LJ160,160,MYSTORE- DOM PEDRO CAMPINAS-SP,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107840
817,LJ168,168,MYSTORE - SP BARUERI - SP,R5,CATIA APARECIDA VILELA DE ABREU,107841
818,LJ172,172,MYSTORE-SAO LUIS SHOPP ILHA-MA,R6,ANDREA VALE PACHECO MARTINS,107842
820,LJ171,171,MYSTORE- BALNEARIO CAMBORIU-SC,R1,DANIEL ALBACH FILIPAK JUNIOR,107845
823,LJ213,213,MY STORE - CONTAGEM - MG,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107850
826,LJ187,187,MYSTORE - SP METRO TATUAPE- SP,R5,CATIA APARECIDA VILELA DE ABREU,107854
827,LJ228,228,MY STORE - MACEIO - AL,R3,JERRISON DA CONCEICAO FARIAS,107863
828,LJ186,186,MYSTORE - CARUARU - PE,R3,JERRISON DA CONCEICAO FARIAS,107865
829,LJ188,188,MYSTORE - S.J.DE MERITI-RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107867
831,LJ194,194,MYSTORE - RECIFE TACARUNA - PE,R3,JERRISON DA CONCEICAO FARIAS,107868
832,LJ191,191,MYSTORE-RECIFE CASA FORTE - PE,R3,JERRISON DA CONCEICAO FARIAS,107872
833,LJ211,211,MY STORE - CURITIBA - PR,R1,DANIEL ALBACH FILIPAK JUNIOR,107874
835,LJ192,192,MYSTORE - J GUARARAPES - PE,R3,JERRISON DA CONCEICAO FARIAS,107876
836,LJ184,184,MYSTORE-RJ WEST SHOPPING  - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107879
839,LJ189,189,MYSTORE-RJ NORTE SHOPPING - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107880
849,LJ207,207,MYSTORE - SP INTERLAGOS - SP,R4,JESSICA DA SILVA DE FARIAS,107881
853,LJ202,202,MYSTORE - PELOTAS - RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107882
854,LJ215,215,MYSTORE - SÃO PAULO - SP,R5,CATIA APARECIDA VILELA DE ABREU,107883
861,LJ212,212,MYSTORE - NOVO HAMBURGO - RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107884
862,LJ216,216,MYSTORE - GUARULHOS - SP,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107885
867,LJ229,229,MY STORE - M. DAS CRUZES - SP,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107886
869,LJ246,246,IPLACE - RIO DE JANEIRO - RJ,R7,VICTOR AUGUSTO BANDEIRA VICTORINO,107887
870,LJ238,238,IPLACE MOBILE - SANTA MARIA - RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107889
872,LJ255,255,IPLACE - SANTA BARBARA D'OESTE,R4,JESSICA DA SILVA DE FARIAS,107890
874,LJ273,273,IPLACE - OLINDA - PE,R3,JERRISON DA CONCEICAO FARIAS,107891
878,LJ269,269,IPLACE - PASSO FUNDO - RS,R1,DANIEL ALBACH FILIPAK JUNIOR,107892
881,LJ274,274,IPLACE - GUARULHOS - SP,R2,JULIANA ANDRADA PINHEIRO PEDROSA,107893
883,LJ282,282,IPLACE MOBILE - JOC PLAZA - PR,R1,DANIEL ALBACH FILIPAK JUNIOR,107894
890,LJ319,319,ESTAÇÃO CUIABÁ,R6,ANDREA VALE PACHECO MARTINS,107895
